objid,ra,dec,petroMag_u,petroMag_r,extinction_u,extinction_r,spiral,elliptical
1237648722294276424,156.765032793999,0.699870899231553,19.05942,16.16979,0.2377168,0.1281394,0,1
1237648722294472925,157.225989052921,0.719538690256426,22.01759,17.24892,0.3007138,0.1620975,0,1
1237648722831474819,157.470420002925,1.14329826804146,20.40672,17.45905,0.2180511,0.1175388,0,1
1237648722294669535,157.671742576526,0.788167452406882,20.50288,17.69765,0.2736022,0.1474831,0,1
1237648722294866111,158.056973521106,0.709313994636239,18.58485,15.95247,0.2749178,0.1481923,0,1
1237648721757929638,157.931151948472,0.255964395801443,18.34577,15.52184,0.2672519,0.1440601,0,1
1237654670812774526,157.816550541404,0.468757155701579,19.55488,17.11928,0.2714745,0.1463362,0,1
1237654670812840148,158.07608528232,0.613348417032014,20.78274,17.56471,0.27426,0.1478377,0,1
1237654670812905613,158.139387821608,0.531388911878707,19.24976,16.44991,0.2752051,0.1483472,0,1
1237648721758191792,158.481085548832,0.395857627051642,20.14334,17.55138,0.2910514,0.156889,0,1
1237654670813036633,158.43027861584,0.545925303709333,20.97894,17.77607,0.283244,0.1526805,0,1
1237651752390230161,158.391649024323,1.01167013117056,19.0557,16.57206,0.2529899,0.1363722,0,1
1237654670276231299,158.591554632923,0.155652520651732,19.68256,16.93051,0.3023487,0.1629787,0,1
1237654670276231328,158.621906911732,0.0681697765748604,20.33594,17.00484,0.3060267,0.1649613,0,1
1237654670276165903,158.516309305878,0.0565980852606377,20.25962,16.93652,0.2984463,0.1608752,0,1
1237654670813167710,158.752652406244,0.594177527083555,19.42234,16.33324,0.2777158,0.1497006,0,1
1237648722295128122,158.710756310182,0.676398786120288,17.02656,14.5306,0.2660464,0.1434103,0,1
1237654670276427952,159.024027325387,0.101890384035634,17.9726,15.08284,0.3259496,0.1757006,0,1
1237654669740474499,161.206864881138,-0.25019403935975,20.12652,16.8567,0.1830012,0.09864537,0,1
1237654669740474440,161.094751066875,-0.29765919182201,20.7386,16.79243,0.1834952,0.09891165,0,1
1237648720148299897,160.144321888775,-0.909414057564798,17.46956,15.02708,0.2186465,0.1178597,0,1
1237654668666339531,160.235081345394,-1.06631179129065,19.60475,16.8482,0.2370128,0.1277599,0,1
1237654669203210391,160.257337223909,-0.746360280588017,21.19341,17.28441,0.211461,0.1139864,0,1
1237648721222238437,160.600820688001,-0.138124773582026,18.80665,16.26035,0.2173535,0.1171627,0,1
1237654669203275901,160.40786108238,-0.643146427713632,19.76531,16.83477,0.2060533,0.1110714,0,1
1237648720685301855,160.383115087355,-0.459235230744618,19.273,16.31625,0.2063044,0.1112068,0,1
1237654669740015748,160.170387104073,-0.317820502613709,19.44238,16.82366,0.2027591,0.1092957,0,1
1237654669203275865,160.371198936441,-0.633341835750179,21.49358,16.58156,0.2062145,0.1111583,0,1
1237654669203013642,159.78892393039,-0.787741756931969,18.32289,15.56127,0.2193968,0.1182641,0,1
1237648721221910580,159.835214457552,-0.200241896044308,15.44588,12.7862,0.2338634,0.1260622,0,1
1237648720147972302,159.416350987729,-0.870080847743536,20.45118,17.88678,0.2538433,0.1368323,0,1
1237654669202817257,159.406895311189,-0.674303785160012,21.30967,17.6756,0.2676055,0.1442507,0,1
1237654669202817275,159.430584840074,-0.654683015019284,19.30059,16.13721,0.265487,0.1431087,0,1
1237648722832130213,158.975340721175,1.09794561757982,20.03996,17.30039,0.2075286,0.1118667,0,1
1237648722295455879,159.338822144736,0.830695949062225,20.26981,16.43496,0.2303982,0.1241944,0,1
1237654670813560960,159.639747811488,0.451424851987645,22.62062,17.65483,0.2741741,0.1477914,0,1
1237654670813692051,159.959516536292,0.426360568813449,20.02843,17.03735,0.2606231,0.1404869,0,1
1237654670276755657,159.818323538556,0.101109560765046,18.56348,16.02944,0.2428121,0.130886,0,1
1237654670813692096,160.029581147047,0.443095487278838,19.6084,16.56931,0.2646819,0.1426747,0,1
1237648722295718111,160.020059868638,0.764686113730729,19.63112,16.56227,0.2648537,0.1427673,0,1
1237648721758978292,160.341951154547,0.268305800412371,19.90866,17.60649,0.2355197,0.1269551,0,1
1237654671350890575,160.760707708175,0.905079202616126,19.13471,16.03941,0.207068,0.1116184,0,1
1237654671350890694,160.686063400336,0.873200825702203,21.18133,17.68695,0.2146315,0.1156954,0,1
1237654670814019802,160.7520719536,0.593762440819944,21.05822,17.59394,0.2322462,0.1251905,0,1
1237648722296045766,160.785334565083,0.82579050417805,20.45521,17.8503,0.2074369,0.1118173,0,1
1237654670277214480,160.839999243821,0.110336683137038,19.94329,16.86566,0.2307336,0.1243751,0,1
1237648722832851117,160.594683214574,1.12635046315155,17.67298,15.09063,0.1991425,0.1073462,0,1
1237648721223221395,162.80641659768,-0.11361985297406,18.99832,16.31675,0.1982385,0.1068589,0,1
1237648721223024679,162.351209166411,-0.107553464761894,19.45852,16.66784,0.177798,0.09584067,0,1
1237648721223090412,162.586248395473,-0.148397244126739,18.72376,16.0328,0.1781093,0.09600842,0,1
1237648721222959300,162.218773126171,-0.0398198676115771,20.38762,17.51921,0.1730896,0.09330262,0,1
1237648721222959267,162.190039597156,-0.00851939584446602,20.13181,16.86501,0.1713655,0.09237326,0,1
1237654669203865673,161.695982959728,-0.830715989666865,20.05474,17.49591,0.1646612,0.08875936,0,1
1237648721222893744,162.15154705959,-0.164335929668542,19.46058,16.56771,0.1703376,0.09181918,0,1
1237648720685891767,161.83748741307,-0.501006484393226,20.78758,17.52848,0.1679746,0.0905454,0,1
1237648721222762644,161.767075109069,-0.091987528550594,19.24873,16.72628,0.1638671,0.08833129,0,1
1237654669740540080,161.377027669772,-0.257924030784374,17.93796,15.55507,0.1796917,0.09686141,0,1
1237654669740671012,161.60663314142,-0.385545404565866,18.92675,16.20868,0.1735843,0.09356926,0,1
1237654669740539977,161.235390341481,-0.347245501147722,19.81504,17.55689,0.1822809,0.09825712,0,1
1237648721222566057,161.349784555299,-0.173936761073749,21.1682,17.79851,0.1869695,0.1007845,0,1
1237648720148627480,160.894755880626,-0.934242138249599,17.25419,14.24997,0.2060282,0.1110579,0,1
1237648720685236327,160.248668673739,-0.5799923607078,18.93709,16.16986,0.2043179,0.110136,0,1
1237654670276886908,160.129200613267,0.0580043695150335,21.50213,17.73263,0.2253577,0.1214773,0,1
1237648722833047691,160.990530112297,1.10497204328504,19.36267,16.52999,0.1879618,0.1013194,0,1
1237654671351021670,160.972333309133,1.00802281162735,20.69848,16.36472,0.1910352,0.102976,0,1
1237654671351021733,161.035722961686,1.01662718900041,19.35293,16.61229,0.1894334,0.1021126,0,1
1237654671351021762,161.067673178794,0.858500471217474,19.49655,17.17859,0.1917476,0.1033601,0,1
1237654670814281934,161.24161049028,0.481064439608138,19.04825,16.03298,0.1994956,0.1075365,0,1
1237654670814281736,161.246453768052,0.577583485306447,18.98557,16.18482,0.1918767,0.1034296,0,1
1237648721759240426,160.904756732646,0.268042687906588,18.38316,15.53547,0.2311551,0.1246024,0,1
1237648721759437011,161.386517296325,0.291949895887928,18.92481,16.51995,0.1889724,0.1018641,0,1
1237648722296307855,161.321936167204,0.647214413099235,18.63149,15.98429,0.1839642,0.09916449,0,1
1237654670814347506,161.476477946064,0.602401231889411,18.8298,15.59434,0.1785107,0.0962248,0,1
1237648722296569979,161.910049357133,0.742932834246179,18.12407,15.54376,0.1918515,0.103416,0,1
1237648721759568035,161.680476236843,0.375618874247459,18.60767,15.67065,0.1779338,0.09591385,0,1
1237648722833506478,162.134326508055,1.1401176129462,20.36408,17.68411,0.1998768,0.107742,0,1
1237654671351480441,162.04113491689,0.954698318437929,20.149,17.11932,0.1956986,0.1054898,0,1
1237648721759830130,162.306278630803,0.246619630163251,19.88313,16.75682,0.1725687,0.09302181,0,1
1237648721759895794,162.35164861906,0.231993376869656,17.26589,14.87043,0.1718516,0.0926353,0,1
1237648721759961394,162.546699244961,0.217212541906535,19.7969,16.41534,0.1764786,0.09512944,0,1
1237648722296832101,162.589439602368,0.709420051618635,18.90773,16.59388,0.2025445,0.1091801,0,1
1237648721224007833,164.68468111506,-0.0601667372918451,20.33623,17.72799,0.1697129,0.09148242,0,1
1237648721223745624,163.966311815918,-0.0964159962305598,18.83316,16.17528,0.1781258,0.09601733,0,1
1237648720149545106,163.062059758085,-0.955492719547843,18.39918,15.69219,0.2457519,0.1324706,0,1
1237674648847450200,162.900580449309,-1.08787830975595,16.8119,14.20637,0.2338212,0.1260395,0,1
1237648720149217569,162.289475016657,-0.908548804887083,18.34749,15.94427,0.1891879,0.1019803,0,1
1237648720149414019,162.652056181797,-0.923054037209305,19.45913,16.67492,0.2369905,0.1277479,0,1
1237674649384124427,162.338072568807,-0.668071639053065,16.27503,13.58424,0.1760654,0.09490669,0,1
1237648722833637499,162.398139885382,1.06862007692951,18.16205,15.91684,0.2129225,0.1147742,0,1
1237648722833637550,162.439618483568,1.12964092265572,18.91739,15.70689,0.2135752,0.1151261,0,1
1237648721759764592,162.033442515537,0.380535535878476,18.66088,15.83864,0.176562,0.09517439,0,1
1237648721759895673,162.421523252092,0.363098735460857,16.59912,13.83551,0.1768341,0.09532104,0,1
1237674651531870420,163.041567224482,0.892614010000773,18.90204,15.96003,0.1987922,0.1071574,0,1
1237648721760026732,162.65338603909,0.37120209662549,20.47899,17.49953,0.1860261,0.1002759,0,1
1237648721759961197,162.525717889481,0.333248799031144,18.50322,15.7358,0.1768135,0.09530995,0,1
1237674650457931866,162.541382399221,0.137604954746431,18.82929,16.12176,0.1774977,0.09567874,0,1
1237648721759961111,162.495232384201,0.322301335705413,16.44115,13.66741,0.1756068,0.09465948,0,1
1237648721760288813,163.276665759981,0.264635056313492,19.66509,16.54973,0.1808987,0.09751207,0,1
1237648722834227236,163.706571931332,1.16309170622207,21.01364,17.71262,0.1624154,0.08754877,0,1
1237648721760813307,164.499831405602,0.384770121749771,19.96836,16.89114,0.2178141,0.117411,0,1
1237648722297618511,164.344628596526,0.661624716077142,18.52437,16.16379,0.2040366,0.1099844,0,1
1237648721760813192,164.524938895196,0.412152275535606,17.85318,15.61072,0.2209739,0.1191143,0,1
1237648721760878739,164.645629835295,0.292387597907842,18.3812,15.72507,0.1953471,0.1053003,0,1
1237674649922764809,166.408223219318,-0.217414722129612,17.4067,14.8165,0.1905869,0.1027344,0,1
1237648720150724924,165.709565292979,-0.995511776521537,21.70303,17.71176,0.1920945,0.1035471,0,1
1237674649385828505,166.271958805085,-0.78037273612458,19.68392,17.29406,0.1920402,0.1035178,0,1
1237674649385762901,166.133275116737,-0.730497261026548,17.46505,15.27498,0.1678719,0.09049007,0,1
1237648720687726793,165.958709103195,-0.601674882726756,18.21391,15.39559,0.1593022,0.08587063,0,1
1237674648848564366,165.341713279914,-1.14025426613465,17.96517,14.99629,0.1878184,0.101242,0,1
1237674649922371770,165.603411221466,-0.419260122898439,21.00807,17.50481,0.1333303,0.07187065,0,1
1237674649922437276,165.638712101922,-0.291019275045744,17.48839,15.32216,0.1365599,0.07361157,0,1
1237648720687530118,165.549220507207,-0.544389852319722,20.64735,17.54753,0.1383883,0.07459714,0,1
1237648721224401255,165.596666622933,-0.184014933768165,21.51548,17.80364,0.1403269,0.07564213,0,1
1237648720150462646,165.071618996112,-0.974593471349519,20.68678,17.85763,0.1783799,0.09615432,0,1
1237648720150462633,165.067193333654,-0.868155341718253,20.22762,16.77462,0.1945506,0.104871,0,1
1237674649385435161,165.363394909009,-0.718315984020429,17.5199,14.64284,0.1751904,0.09443501,0,1
1237648720150396962,164.870380338078,-1.02743367458304,19.44714,16.50223,0.1733616,0.09344925,0,1
1237648720687333542,165.063647357444,-0.443820243668869,21.55164,17.72889,0.1815679,0.09787276,0,1
